item_name,min_jac,num_nodes,num_faces,num_tets,volume(mm3),mass(kg),surface_area(mm2),CG_x(mm),CG_y(mm),CG_z(mm),I_xx(kg*mm2),I_yy(kg*mm2),I_zz(kg*mm2),I_xy(kg*mm2),I_yz(kg*mm2),I_zx(kg*mm2),I_1(kg*mm2),I_2(kg*mm2),I_3(kg*mm2),abs_max_ver_xdisp(mm),abs_max_ver_ydisp(mm),abs_max_ver_zdisp(mm),abs_max_ver_magdisp(mm),max_ver_stress(MPa),min_ver_stress(MPa),abs_max_hor_xdisp(mm),abs_max_hor_ydisp(mm),abs_max_hor_zdisp(mm),abs_max_hor_magdisp(mm),max_hor_stress(MPa),min_hor_stress(MPa),abs_max_dia_xdisp(mm),abs_max_dia_ydisp(mm),abs_max_dia_zdisp(mm),abs_max_dia_magdisp(mm),max_dia_stress(MPa),min_dia_stress(MPa),abs_max_tor_xdisp(mm),abs_max_tor_ydisp(mm),abs_max_tor_zdisp(mm),abs_max_tor_magdisp(mm),max_tor_stress(MPa),min_tor_stress(MPa),1st_mode_freq(Hz),2nd_mode_freq(Hz)
10_30,0.245297332,158221,28384,96871,144064,0.643966,36956,8.48151,-69.442,20.1641,1445.58,433.167,1609.33,-71.4943,14.3435,76.7016,1639.79,1420.47,427.814,0.422216982,0.148531109,0.570949018,0.659770131,1566.630981,-883.2739258,0.454679459,0.040654358,0.408333957,0.551598787,886.9876099,-948.2319946,0.07531476,0.136587337,0.212677911,0.248406142,675.2739258,-303.5210571,0.158424824,0.128518254,0.111048706,0.20994468,328.6962585,-330.9729004,1288.058937,2465.213633
10_421,0.236244844,189704,30568,118707,309759,1.38462,42783.5,14.7988,-69.4236,16.3166,2829.13,806.147,3227.87,-140.951,12.9598,94.8322,3249.42,2817.51,796.217,0.20236674,0.068096802,0.305550247,0.345881224,992.003479,-729.1759033,0.236391678,0.021644175,0.208039969,0.287995964,510.0827332,-549.1694336,0.030816805,0.0515914,0.125752285,0.13503243,490.5497742,-383.1257019,0.088098913,0.102169089,0.063145824,0.136572987,418.7814941,-304.5149231,5072.546349,5812.297962
10_460,0.208223799,200331,31920,125724,293244,1.3108,44822.9,11.9618,-70.1435,18.3822,2640.1,829.501,2965.25,-115.415,15.0677,50.8697,2973.02,2639.8,822.018,0.190364197,0.050341915,0.27558136,0.312830716,1011.589478,-788.2827759,0.212001562,0.020228308,0.189255938,0.260891467,615.8308716,-626.2518921,0.032491788,0.043641962,0.110685743,0.118440486,492.8085938,-391.1081238,0.072985254,0.086774208,0.047862824,0.112941571,449.1833801,-421.1783752,4548.177468,5864.349052
10_492,0.28836678,213235,33518,134105,395828,1.76935,46937.1,15.7686,-69.9466,17.5825,3625.25,1156.79,4243.82,-171.143,20.3076,86.5701,4255.72,3625.39,1144.76,0.138121575,0.043422889,0.20782055,0.235305235,800.0369873,-622.0085449,0.15948467,0.013646471,0.13842082,0.195031255,478.5075073,-450.7224121,0.026395196,0.036156576,0.091409482,0.098097257,395.4269104,-280.8435059,0.064803801,0.08748278,0.04389701,0.107832775,256.9638672,-262.3275452,6021.640743,6737.169309
10_58,0.345353286,254645,38992,161200,335162,1.49817,52198.7,14.3297,-69.4962,17.3367,3080.89,995.272,3583.43,-145.601,22.7098,68.3181,3592.55,3082.17,984.868,0.162475988,0.103982426,0.282172322,0.32110709,998.2640381,-759.2680054,0.188825727,0.01580397,0.16279228,0.229389682,544.2620239,-506.0801086,0.031090038,0.089073032,0.140166521,0.16261588,520.9844971,-398.9658508,0.077595457,0.081843652,0.054837991,0.114603281,249.6248016,-367.8139954,4424.18456,5462.708167
10_80,0.245333747,162082,27478,100331,200730,0.897264,37186,9.49784,-70.1845,15.2326,1633.12,525.291,1876.37,-77.3961,8.60777,81.716,1901.42,1613.6,519.76,0.393488079,0.16259703,0.565175533,0.6563676,1653.553833,-1211.571289,0.500074685,0.035500962,0.426436007,0.597287655,920.7913208,-1053.859619,0.042461187,0.131589219,0.203391075,0.236898273,813.0355835,-532.9100342,0.147744179,0.090979069,0.097353272,0.181736559,359.3706055,-345.5764465,3947.09173,4456.692775
101_428,0.215838474,270276,43092,169852,327605,1.4644,58091.9,14.0531,-70.5914,20.4853,3370.61,992.197,3847.57,-127.135,5.03777,47.174,3852.21,3372.77,985.4,0.132625252,0.058229607,0.232277974,0.256395012,871.0371704,-580.0606079,0.157128319,0.016178748,0.124456197,0.186784148,496.47995,-455.584137,0.052529391,0.054000009,0.122006759,0.133634686,479.4359741,-291.6175842,0.070310719,0.098689571,0.046593223,0.117639199,465.4063416,-438.8547974,4409.03725,4953.107122
101_479,0.309202732,179316,29662,111754,193261,0.863879,39323.1,5.46921,-68.6307,16.8181,2179.92,532.075,2429.23,-118.025,18.5453,85.0685,2455.64,2162.23,523.347,0.297616392,0.075215563,0.387498528,0.451632142,1209.449219,-800.2779541,0.44662872,0.03090631,0.338725775,0.505162776,703.3950195,-804.0647583,0.082135916,0.082981348,0.118508473,0.160459846,526.5679321,-273.3538818,0.154726237,0.087678879,0.095658183,0.181344926,417.9328003,-331.9519958,2153.586981,3605.723856
101_56,0.246710552,221213,34334,139546,374237,1.67284,47393.7,13.6086,-69.5623,17.8786,3712.96,1032.33,4198.78,-166.811,27.5376,55.6752,4205.1,3717.28,1021.69,0.140884429,0.054219969,0.214888096,0.24357152,796.855835,-621.9470215,0.162105665,0.014234035,0.140509039,0.200055405,607.8252563,-492.5882568,0.029098211,0.051952619,0.098626308,0.109707937,734.6256714,-340.3833313,0.064051248,0.090297833,0.044566184,0.109695733,361.9198914,-434.0760803,5441.141433,6448.896078
101_78,0.24372456,192353,30634,120639,314716,1.40678,42830.8,11.7541,-69.2871,16.0961,3052.08,848.493,3471.12,-159.717,22.9964,92.3863,3490.62,3044.43,836.644,0.194894671,0.051117711,0.273261398,0.313553572,980.9570313,-738.3009644,0.234613121,0.019181333,0.200844139,0.281763226,588.5454712,-591.9701538,0.027206227,0.041578304,0.10446319,0.112837836,453.6674805,-367.0091858,0.076336019,0.092165023,0.051310364,0.119401753,293.3600769,-342.448822,5107.331403,5902.833972
101_86,0.260581111,219150,34760,137601,363267,1.6238,47398.7,11.7166,-69.4242,19.7757,3784.04,968.871,4217.98,-169.378,17.5785,38.8259,4221.43,3790.87,958.596,0.120428637,0.048531085,0.19258596,0.21665588,734.2201538,-566.7175903,0.150432661,0.015691362,0.122248307,0.181602612,450.568634,-411.0172119,0.03171999,0.048035808,0.093992963,0.104912877,432.890625,-248.7848206,0.065548152,0.09253253,0.045063056,0.110362761,345.8703308,-338.8426819,5057.367416,6019.522017
102_240,0.360948348,204361,32516,128236,291902,1.3048,45527.2,17.0612,-70.0319,14.3908,2783.3,871.308,3286.87,-150.017,16.1286,95.5675,3304.45,2777.65,859.381,0.342381418,0.110917047,0.496329278,0.568045378,1311.964355,-1027.710815,0.39816466,0.065029986,0.35720098,0.489901751,725.2417603,-703.5476074,0.034918476,0.058077004,0.181709871,0.189510241,694.5718994,-679.7572021,0.099464945,0.116069026,0.069669545,0.154374227,455.7189636,-466.8667297,3430.881525,4407.171507
102_249,0.205819103,211173,35136,131480,210452,0.940721,47807,11.2057,-67.6409,16.3932,2487.61,641.307,2828.14,-165.297,22.9515,76.0671,2844.43,2486.4,626.227,0.352966487,0.114146784,0.512058973,0.581927478,1373.213135,-898.7935181,0.397664726,0.028905842,0.351598352,0.481113762,639.8873901,-773.4279785,0.051787615,0.089489914,0.200415224,0.217102304,636.2481079,-373.7912598,0.150161684,0.128435373,0.096167333,0.200700685,459.0263367,-416.9601135,1845.441997,3310.746596
